r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
9.2518,7.756,0.4,14.647,12.076,0.6,267.65,-0.1,0,ethyl decanoate,ethyl stearate,397.3
9.2518,7.756,0.4,14.4149,11.863,0.6,266.44,-0.1,0,ethyl decanoate,ethyl oleate,398.5
9.2518,7.756,0.4,14.1828,11.65,0.6,265.23,-0.1,0,ethyl decanoate,ethyl linoleate,399.1
10.6006,8.836,0.4,11.9494,9.916,0.6,245.2,-2.22,0,ethyl laurate,ethyl myristate,412.8
10.6006,8.836,0.4,13.2982,10.996,0.6,262.03,-2.35,0,ethyl laurate,ethyl palmitate,418.5
10.6006,8.836,0.4,14.647,12.076,0.6,278.87,-2.37,0,ethyl laurate,ethyl stearate,420.4
10.6006,8.836,0.4,14.4149,11.863,0.6,277.66,-2.36,0,ethyl laurate,ethyl oleate,419.9
10.6006,8.836,0.4,14.1828,11.65,0.6,276.45,-2.36,0,ethyl laurate,ethyl linoleate,420.4
11.9494,9.916,0.4,13.2982,10.996,0.6,273.26,-4.51,0,ethyl myristate,ethyl palmitate,433.2
11.9494,9.916,0.4,14.647,12.076,0.6,290.09,-4.63,0,ethyl myristate,ethyl stearate,438.8
11.9494,9.916,0.4,14.4149,11.863,0.6,288.88,-4.63,0,ethyl myristate,ethyl oleate,437.4
11.9494,9.916,0.4,14.1828,11.65,0.6,287.67,-4.62,0,ethyl myristate,ethyl linoleate,437.9
2.5755,2.588,0.4,7.903,6.676,0.6,119.39,8.17,0,ethanol,ethyl octanoate,298.7
8.5462,7.096,0.4,7.903,6.676,0.6,171.49,3.01,0,dodecane,ethyl octanoate,353.5
2.5755,2.588,0.4,9.2518,7.756,0.6,136.22,8.16,0,ethanol,ethyl decanoate,298.4
8.5462,7.096,0.4,9.2518,7.756,0.6,188.32,2.15,0,dodecane,ethyl decanoate,365.2
2.5755,2.588,0.4,10.6006,8.836,0.6,153.05,8.16,0,ethanol,ethyl laurate,295.4
8.5462,7.096,0.4,10.6006,8.836,0.6,205.16,2.0,0,dodecane,ethyl laurate,366.8
2.5755,2.588,0.4,11.9494,9.916,0.6,169.88,8.16,0,ethanol,ethyl myristate,295.4
8.5462,7.096,0.4,11.9494,9.916,0.6,221.99,1.98,0,dodecane,ethyl myristate,369.8
2.5755,2.588,0.4,13.2982,10.996,0.6,184.27,8.19,0,ethanol,ethyl palmitate,296.5
8.5462,7.096,0.4,13.2982,10.996,0.6,221.99,1.98,0,dodecane,ethyl palmitate,369.8
2.5755,2.588,0.4,14.647,12.076,0.6,203.55,8.16,0,ethanol,ethyl stearate,297.4
8.5462,7.096,0.4,14.647,12.076,0.6,255.65,1.98,0,dodecane,ethyl stearate,372.1
2.5755,2.588,0.4,14.4149,11.863,0.6,202.34,8.16,0,ethanol,ethyl oleate,293.0
8.5462,7.096,0.4,14.4149,11.863,0.6,254.44,1.98,0,dodecane,ethyl oleate,367.8
2.5755,2.588,0.4,14.1828,11.65,0.6,201.13,8.16,0,ethanol,ethyl linoleate,295.4
8.5462,7.096,0.4,14.1828,11.65,0.6,228.36,2.35,0,dodecane,ethyl linoleate,367.1
2.5755,2.588,0.4,5.8486,4.936,0.6,84.56,8.446102,1,ethanol,octane,277.95
